category,current_floor,deed_of_sale,id,n_floors,n_rooms,price_azn
Köhnə tikili,9,True,1907728,9,5,120000
Yeni tikili,8,True,1907740,12,1,75000
Yeni tikili,9,True,1907726,16,3,240000
Yeni tikili,18,False,1907727,20,2,121000
Yeni tikili,3,True,1793336,17,2,90000
Köhnə tikili,3,True,1907730,9,2,132000
Yeni tikili,15,True,1871910,20,3,150000
Yeni tikili,10,True,1853849,17,3,83000
Yeni tikili,15,True,1623800,19,4,141000
Yeni tikili,13,True,1907732,20,4,590000
Yeni tikili,15,False,1803068,18,2,125000
Yeni tikili,3,True,1907736,17,1,80000
Obyekt,,True,1907731,,,550000
Yeni tikili,7,True,1854322,12,2,138000
Yeni tikili,3,False,1907734,20,2,115000
Köhnə tikili,4,True,1855720,4,3,179000
Yeni tikili,4,True,1028285,17,4,250000
Bağ,,True,1895013,,,245000
Bağ,,True,1873187,,,1100000
Bağ,,True,1901886,,,230000
Bağ,,True,1874285,,,600000
Yeni tikili,1,True,1907724,2,3,55000
Yeni tikili,11,True,1907725,13,3,125000
Yeni tikili,7,True,1875100,20,3,116000
